"id","team","wins"
304,"2013 Pittsburgh",0
305,"2013 James Madison",0
306,"2013 Pacific",0
307,"2013 Davidson",0
308,"2013 Montana",0
309,"2013 UNLV",0
310,"2013 Bucknell",0
311,"2013 Colorado",0
312,"2013 NC State",0
313,"2013 Western Kentucky",0
314,"2013 Georgetown",0
315,"2013 Northwestern State",0
316,"2013 South Dakota State",0
317,"2013 Akron",0
318,"2013 UCLA",0
319,"2013 Oklahoma",0
320,"2013 Villanova",0
